Sno,ConfirmedIndianNational,ConfirmedForeignNational,Cured,Deaths,Confirmed
2294,-,-,1,0,1
2295,-,-,550,7,1336
2296,-,-,12,0,41
2297,-,-,1898,40,2060
2298,-,-,3848,163,7028
2299,-,-,0,0,1
2300,-,-,8324,111,16277
2301,-,-,1090,53,1854
2302,-,-,165,0,191
2303,-,-,58,3,317
2304,-,-,3538,161,6268
2305,-,-,1339,272,3667
2306,-,-,0,0,2642
2307,-,-,33,0,33
2308,-,-,1896,56,3110
2309,-,-,1,0,2
2310,-,-,62,4,526
2311,-,-,749,13,2730
2312,-,-,186,3,238
2313,-,-,72,0,291
2314,-,-,0,0,2
2315,-,-,6771,276,14053
2316,-,-,19,0,67
2317,-,-,6636,888,14460
2318,-,-,765,16,1184
2319,-,-,67,5,223
2320,-,-,809,23,1668
2321,-,-,148,4,377
2322,-,-,705,44,2182
2323,-,-,532,5,896
2324,-,-,43,0,52
2325,-,-,3571,300,6859
2326,-,-,15786,1695,52667
2327,-,-,4,0,39
2328,-,-,12,1,14
2329,-,-,1,0,1
2330,-,-,0,0,3
2331,-,-,649,7,1438
2332,-,-,12,0,41
2333,-,-,1898,40,2060
2334,-,-,3951,167,7300
2335,-,-,0,0,1
2336,-,-,8731,118,17082
2337,-,-,1164,56,1920
2338,-,-,165,0,194
2339,-,-,58,3,349
2340,-,-,3581,165,6532
2341,-,-,1414,278,3816
2342,-,-,0,0,2970
2343,-,-,33,0,33
2344,-,-,2009,57,3171
